surveyid,RecordName,Name,Label,NewPublicTreat,NewAnyTreat
361,REC43,H32V,Fever/cough: black bagger/drug peddler,n,n
369,REC43,H32D,Fever/cough: CESAMO,y,y
369,REC43,H32E,Fever/cough: CESAR,y,y
349,REC43,H32H,Fever/cough: community clinic,y,y
365,REC43,H32E,Fever/cough: community health worker,y,y
450,REC43,H32F,Fever/cough: community health worker,y,y
396,REC43,H32S,Fever/cough: Community health worker (CS other sector),y,y
333,REC43,H32F,Fever/cough: CS HSA,y,y
333,REC43,H32Q,Fever/cough: CS Mission healthc center,n,y
333,REC43,H32P,Fever/cough: CS Mission hospital,n,y
333,REC43,H32U,Fever/cough: CS oth.priv sect,n,y
333,REC43,H32W,Fever/cough: CS oth.priv sect,n,y
396,REC43,H32Q,Fever/cough: CS private medical,n,y
396,REC43,H32R,Fever/cough: CS private medical,n,y
396,REC43,H32F,Fever/cough: CS public sector,y,y
396,REC43,H32G,Fever/cough: CS public sector,y,y
396,REC43,H32H,Fever/cough: CS public sector,y,y
396,REC43,H32I,Fever/cough: CS public sector,y,y
349,REC43,H32C,Fever/cough: district hospital,y,y
396,REC43,H32M,Fever/cough: Family Planning Center/FISA (CS private medical),n,y
349,REC43,H32I,Fever/cough: family welfare assistance,y,y
396,REC43,H32V,"Fever/cough: Friend, family member (CS Other sector)",n,n
361,REC43,H32B,Fever/cough: government health center,y,y
365,REC43,H32B,Fever/cough: government health center,y,y
450,REC43,H32B,Fever/cough: government health center,y,y
406,REC43,H32B,Fever/cough: government health center/post,y,y
361,REC43,H32C,Fever/cough: government health post,y,y
365,REC43,H32C,Fever/cough: government health post,y,y
450,REC43,H32C,Fever/cough: government health post,y,y
333,REC43,H32A,Fever/cough: government hosp.,y,y
349,REC43,H32A,Fever/cough: Government hospital,y,y
369,REC43,H32A,Fever/cough: government hospital,y,y
361,REC43,H32A,Fever/cough: government hospital,y,y
365,REC43,H32A,Fever/cough: government hospital,y,y
450,REC43,H32A,Fever/cough: government hospital,y,y
406,REC43,H32A,Fever/cough: government hospital,y,y
396,REC43,H32B,Fever/cough: government hospital level I,y,y
396,REC43,H32A,Fever/cough: government hospital level II,y,y
365,REC43,H32D,Fever/cough: government mobile team,y,y
